GATE G1 -- class split reproduces c59's published R_row_cor, 10 exceptions
arm                                 59.4     here       d  clamp(row,within)
probes_bo6/probe_w_adw_s0          49.37    49.37  -0.003  (False, False)
probes_ml5/probe_w_m2_s2           44.06    44.06  +0.004  (False, False)
probes_ml5/probe_w_m2_s1           43.80    43.80  +0.001  (False, False)
probes_wc5/probe_w_m2_s2           43.24    43.24  +0.005  (False, False)
probes_wc5/probe_w_m2_s0           42.65    42.65  -0.001  (False, False)
probes_ml5/probe_w_m2_s0           42.33    42.33  -0.003  (False, False)
probes_wc5/probe_w_m2_s1           41.55    41.55  +0.005  (False, False)
probes_bo6/probe_w_adw_s1          36.83    36.83  +0.002  (False, False)
probes_bl5/probe_w_e40_s0          22.23    22.23  +0.000  (False, False)
probes_br6/probe_w_c2_s1            7.17     7.17  +0.003  (False, False)

GATE G1: PASS
