
### STEADY window (last 50% of records)
arm                                  n_tot   frac0      sys%     step%     null%  step-null   sd_beta  drift/step
-----------------------------------------------------------------------------------------------------------------
p7-c100-blk6-s0                          6   0.000   57.6667   65.0000   66.2868    -1.2868    2.0848   2.902e-04
p7-c100-blk6-s1                          6   0.000   65.6667   68.3333   66.2868     2.0466    2.0946   2.977e-04
p7-c100-blk6-s2                          6   0.000   60.0000   63.3333   66.2868    -2.9534    2.0769   2.681e-04
p7-c100-lay-s1                          62   0.000   57.9032   59.5806   55.0666     4.5141    2.3977   2.580e-04
p7-c100-lay-s2                          62   0.000   57.4516   59.4516   55.0666     4.3850    2.3846   2.521e-04
p7-c100-node-s1                     14,600   0.000   51.6112   51.6112   50.3302     1.2811    1.7092   8.978e-05
p7-c100-node-s2                     14,600   0.000   51.8666   51.8666   50.3302     1.5364    1.7161   8.892e-05
p7-c100-w-s1                    11,220,132   0.000   50.0097   50.0245   50.0119     0.0126    1.5074   7.140e-05
p7-r10-lay-s1                           38   0.000   55.0526   58.5263   56.4717     2.0546    2.3937   2.995e-04
p7-r10-lay-s2                           38   0.000   56.7368   59.3684   56.4717     2.8967    2.3877   2.996e-04
p7-r10-node-s1                       8,660   0.000   51.6252   51.7379   50.4287     1.3092    1.7632   1.193e-04
p7-r10-node-s2                       8,660   0.000   51.7952   51.8617   50.4287     1.4330    1.7546   1.214e-04
p7-r10-w-s1                      4,903,242   0.000   50.0163   50.0470   50.0180     0.0289    1.4169   6.930e-05
p7-r10-w-s2                      4,903,242   0.001   50.0052   50.0411   50.0180     0.0231    1.4086   7.246e-05
p7-r18-blk6-s0                           6   0.000   68.3333   71.0000   66.2868     4.7132    2.3487   4.407e-04
p7-r18-blk6-s1                           6   0.000   62.6667   68.0000   66.2868     1.7132    2.1164   4.606e-04
p7-r18-blk6-s2                           6   0.000   69.0000   72.3333   66.2868     6.0466    2.3661   4.514e-04
p7-r18-lay-s0                           62   0.000   52.1935   57.4194   55.0666     2.3528    2.0778   2.110e-04
p7-r18-lay-s1                           62   0.000   51.6452   55.8387   55.0666     0.7721    2.0402   2.262e-04
p7-r18-lay-s2                           62   0.000   51.9677   55.9032   55.0666     0.8367    2.0303   2.002e-04
p7-r18-node-s0                      14,420   0.000   50.5753   50.7018   50.3322     0.3696    0.9856   9.012e-05
p7-r18-node-s1                      14,420   0.000   50.7352   50.8007   50.3322     0.4685    0.9580   8.819e-05
p7-r18-node-s2                      14,420   0.000   50.6968   50.7775   50.3322     0.4453    0.9688   8.653e-05
p7-r18-w-s0                     11,173,962   0.000   50.0082   50.0171   50.0119     0.0052    0.7683   5.514e-05
p7-r18-w-s1                     11,173,962   0.000   50.0004   50.0157   50.0119     0.0037    0.7222   5.536e-05
p7-r18-w-s2                     11,173,962   0.000   50.0008   50.0168   50.0119     0.0049    0.7347   5.622e-05
p7-r34-lay-s1                          110   0.000   51.6727   55.2727   53.8038     1.4690    1.5836   1.703e-04
p7-r34-lay-s2                          110   0.000   52.6000   55.3636   53.8038     1.5599    1.5443   1.800e-04
p7-r34-node-s1                      25,556   0.000   50.3357   50.4320   50.2496     0.1824    0.5786   8.392e-05
p7-r34-node-s2                      25,556   0.000   50.4414   50.5555   50.2496     0.3059    0.5821   8.658e-05
p7-r34-w-s1                     21,282,122   0.000   50.0007   50.0114   50.0086     0.0028    0.4976   5.569e-05
p7-r34-w-s2                     21,282,122   0.000   50.0045   50.0124   50.0086     0.0037    0.4987   5.761e-05

### STARTUP window (first 20% of records)
arm                                  n_tot   frac0      sys%     step%     null%  step-null   sd_beta  drift/step
-----------------------------------------------------------------------------------------------------------------
p7-c100-blk6-s0                          6   0.000   73.3333   73.3333   66.2868     7.0466    0.1695   8.436e-04
p7-c100-blk6-s1                          6   0.000   72.5000   74.1667   66.2868     7.8799    0.1233   8.389e-04
p7-c100-blk6-s2                          6   0.000   77.5000   77.5000   66.2868    11.2132    0.2244   8.035e-04
p7-c100-lay-s1                          62   0.016   67.2951   67.9378   55.1079    12.8299    0.4284   6.565e-04
p7-c100-lay-s2                          62   0.016   68.4426   68.3372   55.1079    13.2292    0.4417   6.419e-04
p7-c100-node-s1                     14,600   0.016   52.9791   52.9561   50.3329     2.6232    0.2996   2.306e-04
p7-c100-node-s2                     14,600   0.016   53.6992   53.6839   50.3329     3.3510    0.3023   2.263e-04
p7-c100-w-s1                    11,220,132   0.000   50.1245   50.1245   50.0119     0.1126    0.0912   4.442e-06
p7-r10-lay-s1                           38   0.016   68.4492   69.4534   56.5234    12.9300    0.5214   6.269e-04
p7-r10-lay-s2                           38   0.016   68.3155   70.6377   56.5234    14.1142    0.5560   6.252e-04
p7-r10-node-s1                       8,660   0.017   55.4914   55.4450   50.4323     5.0127    0.3689   2.939e-04
p7-r10-node-s2                       8,660   0.017   55.4221   55.5804   50.4323     5.1481    0.3720   2.987e-04
p7-r10-w-s1                      4,903,242   0.000   50.4008   50.4103   50.0180     0.3923    0.1268   9.104e-06
p7-r10-w-s2                      4,903,242   0.000   50.3759   50.3903   50.0180     0.3723    0.1284   1.243e-05
p7-r18-blk6-s0                           6   0.000   72.5000   80.8333   66.2868    14.5466    0.4456   5.728e-04
p7-r18-blk6-s1                           6   0.000   72.5000   74.1667   66.2868     7.8799    0.3421   6.042e-04
p7-r18-blk6-s2                           6   0.000   73.3333   76.6667   66.2868    10.3799    0.4889   5.335e-04
p7-r18-lay-s0                           62   0.016   64.1803   68.3756   55.1079    13.2676    0.4959   5.293e-04
p7-r18-lay-s1                           62   0.016   61.1475   65.2765   55.1079    10.1686    0.4785   5.097e-04
p7-r18-lay-s2                           62   0.016   63.1967   66.7627   55.1079    11.6547    0.4912   4.837e-04
p7-r18-node-s0                      14,420   0.017   53.2920   53.3698   50.3350     3.0347    0.3096   1.813e-04
p7-r18-node-s1                      14,420   0.017   52.9919   53.2391   50.3350     2.9040    0.3182   1.668e-04
p7-r18-node-s2                      14,420   0.017   53.2461   53.9856   50.3350     3.6506    0.3238   1.700e-04
p7-r18-w-s0                     11,173,962   0.000   50.1277   50.1423   50.0119     0.1303    0.0564   2.538e-05
p7-r18-w-s1                     11,173,962   0.000   50.1594   50.1762   50.0119     0.1642    0.0625   3.171e-05
p7-r18-w-s2                     11,173,962   0.000   50.1868   50.2065   50.0119     0.1946    0.0710   3.595e-05
p7-r34-lay-s1                          110   0.016   59.2421   62.4767   53.8353     8.6414    0.4066   4.016e-04
p7-r34-lay-s2                          110   0.016   58.5490   61.7015   53.8353     7.8662    0.4326   4.351e-04
p7-r34-node-s1                      25,556   0.017   51.9956   52.1326   50.2517     1.8809    0.2319   9.192e-05
p7-r34-node-s2                      25,556   0.017   51.9948   52.4718   50.2517     2.2201    0.2348   8.766e-05
p7-r34-w-s1                     21,282,122   0.000   50.0437   50.0613   50.0086     0.0527    0.0522   4.501e-05
p7-r34-w-s2                     21,282,122   0.000   50.0701   50.0852   50.0086     0.0766    0.0692   5.193e-05
