run,job_id,account,network,dataset,batch_size,granularity,base,meta,meta_stepsize,alpha0,gamma,augment,beta_clip,hier,lam,eta_ratio,seed,epochs_done,epochs_requested,best_test,final_test,final_train,collapsed,node,wallclock_min,provenance,dup_group,superseded,ep_to_85,ep_to_88,ep_to_90,plateau,ep_in_band_90
r10-r1-s0,4683337,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,1,0,100,100,91.26,91.02,99.48,0,node858,61,env,,0,32,42,62,90.772,47
r10-r01-s0,4683331,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.1,0,100,100,91.93,91.71,98.68,0,node883,21,env,,0,35,39,42,91.611,12
r10-r0-s1,4683317,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0,1,100,100,82.86,82.04,84.28,0,node858,60,env,,0,,,,82.19,0
r10c-r02-s1,4684274,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,additive,na,0.2,1,100,100,91.17,90.51,98.37,0,node881,21,env,,0,16,21,30,90.744,72
r10-r007-s1,4683329,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.07,1,100,100,91.23,90.91,96.41,0,node858,61,env,,0,37,41,44,90.745,54
r10c-r01-s1,4684271,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,additive,na,0.1,1,100,100,90.25,89.37,94.19,0,node858,61,env,,0,20,29,76,89.692,47
r10c-r1-s1,4684280,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,additive,na,1,1,100,100,91.62,91.23,99.79,0,node881,21,env,,0,20,26,36,91.171,47
r10b-r008-s1,4683617,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.08,1,100,100,91.5,91.1,97.34,0,node885,21,env,,0,37,40,44,91.079,31
r10b-r03-s1,4683623,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.3,1,100,100,91.05,90.81,99.27,0,node881,21,env,,0,33,40,63,90.553,46
r10-r02-s1,4683335,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.2,1,100,100,91.06,90.92,99.32,0,node883,21,env,,0,35,39,50,90.816,57
r10-r1-s1,4683338,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,1,1,100,100,90.96,90.75,99.46,0,node851,64,env,,0,34,46,61,90.451,43
r10b-r015-s1,4683620,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.15,1,100,100,91.68,90.85,99.15,0,node887,21,env,,0,35,39,42,91.26,24
r10-r005-s1,4683323,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.05,1,100,100,90.38,89.88,94.0,0,node858,61,env,,0,38,44,74,89.847,46
r10-r006-s1,4683326,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.06,1,100,100,90.88,90.45,95.15,0,node859,61,env,,0,38,41,54,90.477,57
r10-r003-s1,4683320,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.03,1,100,100,89.4,88.73,91.94,0,node851,64,env,,0,40,59,,88.905,8
r10c-r005-s1,4684268,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,additive,na,0.05,1,100,100,89.12,88.76,92.42,0,node885,21,env,,0,22,44,,88.646,1
sa3-ResNet10-add-s1,4683453,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,additive,na,0.06,1,100,100,89.43,88.91,92.68,0,node887,21,env,,0,21,42,,89.014,13
sa3-ResNet10-layer-s1,4683452,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,,na,na,1,100,100,91.97,91.97,99.77,0,node881,21,env,,0,20,26,41,91.436,37
r10-r01-s1,4683332,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.1,1,100,100,91.75,91.16,98.36,0,node851,64,env,,0,35,40,42,91.532,13
r10c-r05-s1,4684277,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,additive,na,0.5,1,100,100,91.52,91.03,99.59,0,node887,21,env,,0,17,26,36,91.097,46
r10b-r04-s1,4683626,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.4,1,100,100,90.97,90.47,99.22,0,node851,64,env,,0,33,47,66,90.462,47
r10b-r06-s1,4683629,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.6,1,100,100,90.92,90.5,99.28,0,node887,21,env,,0,34,48,66,90.263,44
r10c-r0-s1,4684265,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,additive,na,0,1,100,100,82.68,81.92,84.58,0,node851,65,env,,0,,,,82.323,0
sa3-ResNet10-layer-s2,4683461,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,,na,na,2,100,100,91.49,91.27,99.72,0,node881,21,env,,0,17,24,35,90.943,55
r10-r006-s2,4683327,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.06,2,100,100,91.29,90.87,96.43,0,node880,21,env,,0,37,40,46,90.982,46
r10c-r01-s2,4684272,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,additive,na,0.1,2,100,100,90.12,89.61,94.65,0,node887,21,env,,0,19,28,90,89.701,44
r10-r003-s2,4683321,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.03,2,100,100,89.82,89.82,92.74,0,node851,65,env,,0,39,49,,89.386,29
r10c-r005-s2,4684269,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,additive,na,0.05,2,100,100,89.27,88.95,92.21,0,node887,21,env,,0,25,50,,88.674,5
r10b-r06-s2,4683630,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.6,2,100,100,91.32,91.2,99.42,0,node883,21,env,,0,32,40,56,90.842,44
r10-r02-s2,4683336,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.2,2,100,100,91.55,91.44,99.37,0,node851,64,env,,0,33,35,49,91.212,38
r10c-r05-s2,4684278,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,additive,na,0.5,2,100,100,91.29,90.77,99.55,0,node887,21,env,,0,16,24,40,90.943,56
r10-r01-s2,4683333,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.1,2,100,100,92.03,91.68,98.77,0,node880,21,env,,0,35,38,46,91.627,18
r10-r005-s2,4683324,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.05,2,100,100,91.19,90.84,95.29,0,node858,61,env,,0,37,42,58,90.62,53
r10b-r04-s2,4683627,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.4,2,100,100,91.29,91.29,99.47,0,node881,21,env,,0,33,40,59,90.738,48
r10b-r03-s2,4683624,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.3,2,100,100,91.36,91.03,99.36,0,node886,21,env,,0,33,39,56,90.869,46
sa3-ResNet10-add-s2,4683462,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,additive,na,0.06,2,100,100,89.28,89.07,92.65,0,node886,21,env,,0,22,41,,88.803,5
r10c-r02-s2,4684275,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,additive,na,0.2,2,100,100,91.48,90.6,98.18,0,node851,64,env,,0,16,19,32,90.882,68
r10-r007-s2,4683330,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.07,2,100,100,91.9,91.67,97.41,0,node858,61,env,,0,35,40,45,91.467,15
r10-r0-s2,4683318,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0,2,100,100,82.47,82.14,84.18,0,node880,21,env,,0,,,,82.109,0
r10b-r008-s2,4683618,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.08,2,100,100,92.2,91.7,98.13,0,node886,21,env,,0,35,39,43,91.596,14
r10b-r015-s2,4683621,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.15,2,100,100,91.76,91.58,99.3,0,node883,21,env,,0,34,37,44,91.47,30
r10-r1-s2,4683339,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,1,2,100,100,91.06,90.94,99.48,0,node880,21,env,,0,30,40,61,90.536,50
r10c-r1-s2,4684281,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,additive,na,1,2,100,100,91.31,90.91,99.63,0,node851,64,env,,0,18,24,40,90.893,59
r10c-r0-s2,4684266,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,additive,na,0,2,100,100,82.49,82.0,84.26,0,node887,21,env,,0,,,,82.036,0
p5-r10-node,4683379,s5014158,ResNet10,CIFAR10,100,nodewise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,shrink,1.0,na,0,20,20,30.96,30.96,30.48,0,node886,6,env,,0,,,,17.464,0
p5-r10-scal,4683377,s5014158,ResNet10,CIFAR10,100,scalar,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,0,20,20,60.98,60.98,60.33,0,node858,14,env,,0,,,,27.948,0
sa3-ResNet10-scal-s0,4683442,s5014158,ResNet10,CIFAR10,100,scalar,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,,na,na,0,100,100,71.93,71.69,72.15,0,node883,30,env,,0,,,,71.668,0
sa3-ResNet10-scal-s1,4683451,s5014158,ResNet10,CIFAR10,100,scalar,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,,na,na,1,100,100,70.1,69.94,70.28,0,node851,73,env,,0,,,,69.897,0
sa3-ResNet10-scal-s2,4683460,s5014158,ResNet10,CIFAR10,100,scalar,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,,na,na,2,100,100,70.61,70.34,70.54,0,node858,72,env,,0,,,,70.344,0
p5-r10-w,4683380,s5014158,ResNet10,CIFAR10,100,weightwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,shrink,1.0,na,0,20,20,12.91,12.91,12.63,0,node882,6,env,,0,,,,10.913,0
a0-layer-1e6_s0,4680710,s5014158,ResNet18,CIFAR10,100,layerwise,AdamW,Adam,1e-3,1e-6,1,1,-15:-2.3026,,na,na,0,100,100,91.94,91.53,99.8,0,node881,40,env,,0,10,16,27,91.683,29
g2_mAdam_layer_s0,4679381,s5014158,ResNet18,CIFAR10,100,layerwise,AdamW,Adam,1e-3,1e-6,1,1,none,,na,na,0,100,100,92.08,91.67,99.83,0,node882,41,inferred,,0,9,16,24,91.767,26
a0-layer-1e4_s0,4680709,s5014158,ResNet18,CIFAR10,100,layerwise,AdamW,Adam,1e-3,1e-4,1,1,-15:-2.3026,,na,na,0,100,100,92.4,92.27,99.83,0,node885,39,env,a0-layer-1e4_s0,0,7,12,19,92.053,21
g1_adamw_layer_s0,4679169,s5014158,ResNet18,CIFAR10,100,layerwise,AdamW,Lion,1e-3,1e-6,1,1,none,,na,na,0,100,100,92.0,91.82,99.74,0,node885,42,inferred,,0,13,18,31,91.569,35
a0-layer-1e3_s0,4680708,s5014158,ResNet18,CIFAR10,100,layerwise,AdamW,Adam,1e-3,1e-3,1,1,-15:-2.3026,,na,na,0,100,100,91.15,90.58,99.87,0,node880,40,env,,0,10,15,38,90.844,74
a0-layer-1e4_s0,4682515,s5014158,ResNet18,CIFAR10,100,layerwise,AdamW,Adam,1e-3,1e-4,1,1,-15:-2.3026,,na,na,0,55,100,91.96,91.96,99.48,0,node880,,env,a0-layer-1e4_s0,1,6,11,19,91.558,17
g2_mAdam_layer_s1,4679382,s5014158,ResNet18,CIFAR10,100,layerwise,AdamW,Adam,1e-3,1e-6,1,1,none,,na,na,1,100,100,92.0,91.52,99.84,0,node882,41,inferred,,0,8,15,24,91.582,39
a0-layer-1e3_s1,4680717,s5014158,ResNet18,CIFAR10,100,layerwise,AdamW,Adam,1e-3,1e-3,1,1,-15:-2.3026,,na,na,1,100,100,90.87,90.77,99.85,0,node885,39,env,,0,9,15,29,90.619,81
g1_adamw_layer_s1,4679170,s5014158,ResNet18,CIFAR10,100,layerwise,AdamW,Lion,1e-3,1e-6,1,1,none,,na,na,1,100,100,91.67,91.15,99.78,0,node885,42,inferred,,0,14,16,32,91.179,39
a0-layer-1e4_s1,4680718,s5014158,ResNet18,CIFAR10,100,layerwise,AdamW,Adam,1e-3,1e-4,1,1,-15:-2.3026,,na,na,1,100,100,92.31,92.31,99.88,0,node881,39,env,,0,8,12,17,91.773,24
a0-layer-1e6_s1,4680719,s5014158,ResNet18,CIFAR10,100,layerwise,AdamW,Adam,1e-3,1e-6,1,1,-15:-2.3026,,na,na,1,100,100,92.12,92.1,99.77,0,node882,39,env,,0,10,15,26,91.752,23
g1_adamw_layer_s2,4679171,s5014158,ResNet18,CIFAR10,100,layerwise,AdamW,Lion,1e-3,1e-6,1,1,none,,na,na,2,100,100,91.83,91.76,99.77,0,node885,42,inferred,,0,13,19,35,91.505,41
a0-layer-1e3_s2,4680726,s5014158,ResNet18,CIFAR10,100,layerwise,AdamW,Adam,1e-3,1e-3,1,1,-15:-2.3026,,na,na,2,100,100,91.19,91.09,99.92,0,node881,39,env,,0,10,15,32,91.015,67
g2_mAdam_layer_s2,4679383,s5014158,ResNet18,CIFAR10,100,layerwise,AdamW,Adam,1e-3,1e-6,1,1,none,,na,na,2,100,100,92.19,92.0,99.85,0,node882,40,inferred,,0,9,15,27,91.801,28
a0-layer-1e4_s2,4680727,s5014158,ResNet18,CIFAR10,100,layerwise,AdamW,Adam,1e-3,1e-4,1,1,-15:-2.3026,,na,na,2,100,100,92.05,91.78,99.81,0,node882,39,env,,0,8,14,22,91.767,20
a0-layer-1e6_s2,4680728,s5014158,ResNet18,CIFAR10,100,layerwise,AdamW,Adam,1e-3,1e-6,1,1,-15:-2.3026,,na,na,2,100,100,91.89,91.86,99.84,0,node882,39,env,,0,10,14,28,91.655,34
a0-blk6-1e6_s0,4680707,s5014158,ResNet18,CIFAR10,100,resnet18_blocks,AdamW,Adam,1e-3,1e-6,1,1,-15:-2.3026,,na,na,0,100,100,92.24,92.1,99.71,0,node885,43,env,,0,10,17,30,91.802,31
a0-blk6-1e4_s0,4680706,s5014158,ResNet18,CIFAR10,100,resnet18_blocks,AdamW,Adam,1e-3,1e-4,1,1,-15:-2.3026,,na,na,0,100,100,92.23,91.25,99.7,0,node886,43,env,a0-blk6-1e4_s0,0,10,16,29,91.749,31
g1_adamw_blk6_s0,4679166,s5014158,ResNet18,CIFAR10,100,resnet18_blocks,AdamW,Lion,1e-3,1e-6,1,1,none,,na,na,0,100,100,92.1,91.68,99.62,0,node882,46,inferred,,0,12,17,35,91.641,38
g2_mAdam_blk6_s0,4679378,s5014158,ResNet18,CIFAR10,100,resnet18_blocks,AdamW,Adam,1e-3,1e-6,1,1,none,,na,na,0,100,100,92.2,91.71,99.7,0,node885,43,inferred,,0,10,17,27,91.619,27
a0-blk6-1e4_s0,4682514,s5014158,ResNet18,CIFAR10,100,resnet18_blocks,AdamW,Adam,1e-3,1e-4,1,1,-15:-2.3026,,na,na,0,50,100,91.25,90.64,98.85,0,node882,,env,a0-blk6-1e4_s0,1,8,18,27,90.264,25
a0-blk6-1e3_s0,4680705,s5014158,ResNet18,CIFAR10,100,resnet18_blocks,AdamW,Adam,1e-3,1e-3,1,1,-15:-2.3026,,na,na,0,100,100,92.14,91.91,99.92,0,node885,43,env,,0,8,11,19,91.849,17
a0-blk6-1e3_s1,4680714,s5014158,ResNet18,CIFAR10,100,resnet18_blocks,AdamW,Adam,1e-3,1e-3,1,1,-15:-2.3026,,na,na,1,100,100,92.26,92.17,99.93,0,node886,43,env,,0,8,12,18,92.118,12
a0-blk6-1e4_s1,4680715,s5014158,ResNet18,CIFAR10,100,resnet18_blocks,AdamW,Adam,1e-3,1e-4,1,1,-15:-2.3026,,na,na,1,100,100,91.94,91.44,99.58,0,node885,43,env,,0,8,14,25,91.585,31
g1_adamw_blk6_s1,4679167,s5014158,ResNet18,CIFAR10,100,resnet18_blocks,AdamW,Lion,1e-3,1e-6,1,1,none,,na,na,1,100,100,91.52,91.3,99.66,0,node880,46,inferred,,0,14,17,36,91.079,51
g2_mAdam_blk6_s1,4679379,s5014158,ResNet18,CIFAR10,100,resnet18_blocks,AdamW,Adam,1e-3,1e-6,1,1,none,,na,na,1,100,100,91.98,91.82,99.71,0,node880,45,inferred,,0,10,16,28,91.655,34
a0-blk6-1e6_s1,4680716,s5014158,ResNet18,CIFAR10,100,resnet18_blocks,AdamW,Adam,1e-3,1e-6,1,1,-15:-2.3026,,na,na,1,100,100,91.9,91.79,99.71,0,node880,44,env,,0,10,16,29,91.547,29
g1_adamw_blk6_s2,4679168,s5014158,ResNet18,CIFAR10,100,resnet18_blocks,AdamW,Lion,1e-3,1e-6,1,1,none,,na,na,2,100,100,91.95,91.07,99.79,0,node881,46,inferred,,0,13,19,36,91.382,39
a0-blk6-1e6_s2,4680725,s5014158,ResNet18,CIFAR10,100,resnet18_blocks,AdamW,Adam,1e-3,1e-6,1,1,-15:-2.3026,,na,na,2,100,100,91.96,91.88,99.74,0,node880,44,env,,0,11,15,33,91.713,37
a0-blk6-1e4_s2,4680724,s5014158,ResNet18,CIFAR10,100,resnet18_blocks,AdamW,Adam,1e-3,1e-4,1,1,-15:-2.3026,,na,na,2,100,100,91.91,91.44,99.63,0,node885,43,env,,0,10,19,34,91.581,32
a0-blk6-1e3_s2,4680723,s5014158,ResNet18,CIFAR10,100,resnet18_blocks,AdamW,Adam,1e-3,1e-3,1,1,-15:-2.3026,,na,na,2,100,100,92.18,92.12,99.94,0,node885,43,env,,0,9,12,19,92.039,10
g2_mAdam_blk6_s2,4679380,s5014158,ResNet18,CIFAR10,100,resnet18_blocks,AdamW,Adam,1e-3,1e-6,1,1,none,,na,na,2,100,100,92.0,91.95,99.64,0,node881,45,inferred,,0,10,15,27,91.645,38
g2_mAdam_scal_s0,4679375,s5014158,ResNet18,CIFAR10,100,scalar,AdamW,Adam,1e-3,1e-6,1,1,none,,na,na,0,100,100,92.23,91.97,99.67,0,node886,46,inferred,,0,10,17,25,91.663,30
a0-scal-1e3_s0,4680702,s5014158,ResNet18,CIFAR10,100,scalar,AdamW,Adam,1e-3,1e-3,1,1,-15:-2.3026,,na,na,0,100,100,92.76,92.56,99.92,0,node881,45,env,,0,10,12,18,92.481,9
a0-scal-1e6_s0,4680704,s5014158,ResNet18,CIFAR10,100,scalar,AdamW,Adam,1e-3,1e-6,1,1,-15:-2.3026,,na,na,0,100,100,92.12,91.41,99.61,0,node882,45,env,,0,10,19,30,91.673,36
a0-scal-1e4_s0,4680703,s5014158,ResNet18,CIFAR10,100,scalar,AdamW,Adam,1e-3,1e-4,1,1,-15:-2.3026,,na,na,0,100,100,92.37,91.98,99.75,0,node882,45,env,a0-scal-1e4_s0,0,10,14,27,91.752,36
a0-scal-1e4_s0,4682513,s5014158,ResNet18,CIFAR10,100,scalar,AdamW,Adam,1e-3,1e-4,1,1,-15:-2.3026,,na,na,0,50,100,91.14,91.07,98.62,0,node882,,env,a0-scal-1e4_s0,1,8,16,26,90.477,23
g1_adamw_scal_s0,4679277,s5014158,ResNet18,CIFAR10,100,scalar,AdamW,Lion,1e-3,1e-6,1,1,none,,na,na,0,100,100,92.05,91.67,99.58,0,node885,45,inferred,,0,11,19,33,91.74,26
a0-scal-1e4_s1,4680712,s5014158,ResNet18,CIFAR10,100,scalar,AdamW,Adam,1e-3,1e-4,1,1,-15:-2.3026,,na,na,1,100,100,92.31,92.31,99.7,0,node882,44,env,,0,8,16,29,91.771,31
a0-scal-1e6_s1,4680713,s5014158,ResNet18,CIFAR10,100,scalar,AdamW,Adam,1e-3,1e-6,1,1,-15:-2.3026,,na,na,1,100,100,92.02,91.65,99.71,0,node885,44,env,,0,10,16,35,91.495,39
g1_adamw_scal_s1,4679278,s5014158,ResNet18,CIFAR10,100,scalar,AdamW,Lion,1e-3,1e-6,1,1,none,,na,na,1,100,100,91.87,91.87,99.65,0,node885,45,inferred,,0,14,21,36,91.534,41
g2_mAdam_scal_s1,4679376,s5014158,ResNet18,CIFAR10,100,scalar,AdamW,Adam,1e-3,1e-6,1,1,none,,na,na,1,100,100,91.77,91.77,99.58,0,node885,44,inferred,,0,10,22,36,91.422,37
