run,job_id,account,network,dataset,batch_size,granularity,base,meta,meta_stepsize,alpha0,gamma,augment,beta_clip,hier,lam,eta_ratio,seed,epochs_done,epochs_requested,best_test,final_test,final_train,collapsed,node,wallclock_min,provenance,dup_group,superseded,ep_to_85,ep_to_88,ep_to_90,plateau,ep_in_band_90
r10-r005-s0,4683322,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.05,0,100,100,90.77,90.67,95.03,0,node880,21,env,,0,38,41,56,90.324,54
r10c-r1-s0,4684279,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,additive,na,1,0,100,100,91.87,91.6,99.82,0,node858,61,env,,0,17,25,37,91.436,37
r10b-r015-s0,4683619,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.15,0,100,100,91.69,91.66,99.23,0,node858,62,env,,0,34,37,41,91.393,26
r10c-r005-s0,4684267,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,additive,na,0.05,0,100,100,89.26,89.26,92.06,0,node881,21,env,,0,25,51,,88.681,3
sa3-ResNet10-add-s0,4683444,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,additive,na,0.06,0,100,100,89.53,89.42,92.51,0,node885,21,env,,0,24,41,,89.07,15
r10c-r05-s0,4684276,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,additive,na,0.5,0,100,100,91.47,91.18,99.64,0,node885,21,env,,0,15,21,37,91.097,52
p5-r10-lay,4683378,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,shrink,1.0,na,0,20,20,44.99,44.99,43.09,0,node859,12,env,,0,,,,22.364,0
sa3-ResNet10-layer-s0,4683443,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,,na,na,0,100,100,91.73,91.52,99.79,0,node881,21,env,,0,17,25,36,91.399,33
r10b-r06-s0,4683628,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.6,0,100,100,91.01,90.88,99.48,0,node886,21,env,,0,32,41,62,90.37,49
r10c-r0-s0,4684264,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,additive,na,0,0,100,100,82.46,82.43,84.58,0,node881,21,env,,0,,,,82.218,0
r10-r0-s0,4683316,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0,0,100,100,82.42,82.18,84.42,0,node883,21,env,,0,,,,82.044,0
r10-r006-s0,4683325,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.06,0,100,100,91.23,91.23,95.99,0,node883,21,env,,0,38,41,45,90.832,53
r10c-r01-s0,4684270,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,additive,na,0.1,0,100,100,90.38,90.18,94.21,0,node887,21,env,,0,19,27,68,89.977,51
r10-r007-s0,4683328,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.07,0,100,100,91.44,91.41,97.12,0,node859,61,env,,0,38,41,45,91.103,35
r10b-r04-s0,4683625,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.4,0,100,100,91.05,91.05,99.43,0,node885,21,env,,0,30,42,59,90.47,48
r10-r003-s0,4683319,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.03,0,100,100,89.82,89.4,92.53,0,node883,21,env,,0,39,45,,89.404,32
r10c-r02-s0,4684273,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,additive,na,0.2,0,100,100,91.43,91.11,97.97,0,node858,61,env,,0,16,21,32,90.674,72
r10b-r008-s0,4683616,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.08,0,100,100,91.9,91.83,97.9,0,node887,21,env,,0,36,40,43,91.492,9
r10b-r03-s0,4683622,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.3,0,100,100,91.46,90.89,99.38,0,node880,21,env,,0,32,38,56,90.921,48
r10-r02-s0,4683334,s5014158,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.2,0,100,100,91.53,91.53,99.3,0,node851,63,env,,0,32,36,42,91.211,43
