p7 AGREEMENT LADDER -- CORRECTED REBUILD (campaign cycle 36)
built 2026-08-20 from RAW probe.jsonl on alice:/data1/salehkaleybars/metaopt/runs/p7free
92 arms x 100 records, all complete; config uniform (HF/SGDm base, Lion meta, alpha0=1e-3,
meta_stepsize=1e-3, 20 epochs, AUGMENT=1, BETA_CLIP=-15:-2.3026, HIER=none).

Supersedes results/p7_c31.txt, which was a partial snapshot (46 of 92 arms per window) and
carried two measurement defects, both fixed here:
  D1  drift/step averaged beta with EQUAL WEIGHT PER TENSOR.  probe.jsonl stores
      beta[i] = mean of tensor i's beta groups (HF.py:346), so the group mean needs weights
      w_i = #groups in tensor i: 1 (blk6, layerwise), out-dim (nodewise), numel (weightwise).
      Equal weighting is exact for blk6/layerwise and WRONG for nodewise/weightwise.
  D2  null% used the asymptotic 0.5 + sqrt(2/pi)/(2 sqrt(m)).  Replaced by the EXACT
      E[max(k,m-k)/m], k~Bin(m,1/2)  =  1/2 + ceil(m/2)*C(m,ceil(m/2))/(m*2^m)  (de Moivre).
      At m=6 that is 65.6250%, not 66.2868% -- the asymptotic form biased every m=6
      excess DOWN by 0.6618pp.  Bias is 0.0424pp at m=38, 0.0204pp at m=62, <0.01pp at m>=110.

CONTROL: this reader reproduces alice:/data1/salehkaleybars/metaopt/bin/agree2.py bit-exactly
(max abs discrepancy 0 over all 92 arms x 2 windows x 7 fields).  Every row of p7_c31.txt is
reproduced unchanged by the uncorrected path; c31 differs from the full run ONLY by omission.
NOTE: analysis/agree2.py in the repo differs from the published bin/agree2.py on one line --
limit_denominator(20_000_000) vs (100_000_000) -- which silently mis-infers n_tot for
ResNet-34 weightwise (21,282,122 > 20M).  Use the bin/ copy.  n_tot is cross-checked here
against torch parameter shapes and matches exactly for all 12 (arch,dataset,granularity) cells.

Columns 1-9 are the p7_c31.txt format (null% and drift/step now CORRECTED in place).
Columns 10-12 are appended: the legacy values, for direct comparison.

### STEADY window (last 50% of records)
arm                                  n_tot   frac0      sys%     step%     null%  step-null   sd_beta  drift/step | null_asym%   drift_eqw sd_beta_eqw
p7-c100-lay-s4                          62   0.000   57.6129   59.1613   55.0462     4.1151    2.3935   2.480e-04 |    55.0666   2.480e-04      2.3935
p7-c100-lay-s5                          62   0.000   57.6129   59.6774   55.0462     4.6312    2.4061   2.678e-04 |    55.0666   2.678e-04      2.4061
p7-c100-lay-s6                          62   0.000   54.7419   56.8710   55.0462     1.8248    2.3704   2.485e-04 |    55.0666   2.485e-04      2.3704
p7-c100-lay-s7                          62   0.000   56.4516   58.4516   55.0462     3.4054    2.3888   2.803e-04 |    55.0666   2.803e-04      2.3888
p7-c100-lay-s8                          62   0.000   60.2903   60.4839   55.0462     5.4377    2.4092   2.569e-04 |    55.0666   2.569e-04      2.4092
p7-c100-lay-s9                          62   0.000   58.5161   60.3871   55.0462     5.3409    2.3817   2.699e-04 |    55.0666   2.699e-04      2.3817
p7-c100-node-s0                     14,600   0.000   51.9284   51.9284   50.3302     1.5982    2.4494   1.344e-04 |    50.3302   9.327e-05      1.7212
p7-c100-node-s1                     14,600   0.000   51.6112   51.6112   50.3302     1.2811    2.4341   1.289e-04 |    50.3302   8.978e-05      1.7092
p7-c100-node-s2                     14,600   0.000   51.8666   51.8666   50.3302     1.5364    2.4440   1.275e-04 |    50.3302   8.892e-05      1.7161
p7-c100-node-s3                     14,600   0.000   51.8781   51.9219   50.3302     1.5918    2.4575   1.317e-04 |    50.3302   8.966e-05      1.7286
p7-c100-node-s4                     14,600   0.000   51.6542   51.6953   50.3302     1.3652    2.4321   1.315e-04 |    50.3302   9.416e-05      1.7055
p7-c100-node-s5                     14,600   0.000   51.7973   51.7986   50.3302     1.4685    2.4473   1.318e-04 |    50.3302   9.138e-05      1.7234
p7-c100-node-s6                     14,600   0.000   51.6222   51.6282   50.3302     1.2981    2.4420   1.299e-04 |    50.3302   9.142e-05      1.7168
p7-c100-node-s7                     14,600   0.000   52.0097   52.0097   50.3302     1.6796    2.4226   1.325e-04 |    50.3302   9.373e-05      1.7017
p7-c100-node-s8                     14,600   0.000   52.0463   52.0463   50.3302     1.7161    2.4685   1.251e-04 |    50.3302   8.756e-05      1.7388
p7-c100-node-s9                     14,600   0.000   51.9759   51.9759   50.3302     1.6457    2.4358   1.328e-04 |    50.3302   9.206e-05      1.7143
p7-c100-w-s0                    11,220,132   0.000   50.0109   50.0259   50.0119     0.0140    0.1043   1.083e-05 |    50.0119   6.818e-05      1.5168
p7-c100-w-s1                    11,220,132   0.000   50.0097   50.0245   50.0119     0.0126    0.1032   1.110e-05 |    50.0119   7.140e-05      1.5074
p7-c100-w-s2                    11,220,132   0.000   50.0172   50.0247   50.0119     0.0128    0.1046   1.157e-05 |    50.0119   7.054e-05      1.5169
p7-c100-w-s3                    11,220,132   0.000   50.0075   50.0189   50.0119     0.0070    0.1041   1.111e-05 |    50.0119   7.131e-05      1.5154
p7-c100-w-s4                    11,220,132   0.000   50.0132   50.0239   50.0119     0.0120    0.1031   1.128e-05 |    50.0119   7.020e-05      1.4978
p7-c100-w-s5                    11,220,132   0.000   50.0098   50.0224   50.0119     0.0105    0.1041   1.083e-05 |    50.0119   6.672e-05      1.5052
p7-c100-w-s6                    11,220,132   0.000   50.0107   50.0201   50.0119     0.0082    0.1038   1.102e-05 |    50.0119   6.970e-05      1.5078
p7-c100-w-s7                    11,220,132   0.000   50.0096   50.0180   50.0119     0.0061    0.1032   1.094e-05 |    50.0119   7.057e-05      1.5009
p7-c100-w-s8                    11,220,132   0.000   50.0147   50.0229   50.0119     0.0110    0.1043   1.118e-05 |    50.0119   6.935e-05      1.5133
p7-c100-w-s9                    11,220,132   0.000   50.0140   50.0208   50.0119     0.0089    0.1057   1.149e-05 |    50.0119   6.871e-05      1.5163
p7-r10-lay-s1                           38   0.000   55.0526   58.5263   56.4293     2.0970    2.3937   2.995e-04 |    56.4717   2.995e-04      2.3937
p7-r10-lay-s2                           38   0.000   56.7368   59.3684   56.4293     2.9392    2.3877   2.996e-04 |    56.4717   2.996e-04      2.3877
p7-r10-node-s1                       8,660   0.000   51.6252   51.7379   50.4287     1.3092    2.4018   1.592e-04 |    50.4287   1.193e-04      1.7632
p7-r10-node-s2                       8,660   0.000   51.7952   51.8617   50.4287     1.4330    2.3904   1.622e-04 |    50.4287   1.214e-04      1.7546
p7-r10-w-s1                      4,903,242   0.000   50.0163   50.0470   50.0180     0.0289    0.1175   1.183e-05 |    50.0180   6.930e-05      1.4169
p7-r10-w-s2                      4,903,242   0.001   50.0052   50.0411   50.0180     0.0231    0.1161   1.254e-05 |    50.0180   7.246e-05      1.4086
p7-r18-blk6-s0                           6   0.000   68.3333   71.0000   65.6250     5.3750    2.3487   4.407e-04 |    66.2868   4.407e-04      2.3487
p7-r18-blk6-s1                           6   0.000   62.6667   68.0000   65.6250     2.3750    2.1164   4.606e-04 |    66.2868   4.606e-04      2.1164
p7-r18-blk6-s2                           6   0.000   69.0000   72.3333   65.6250     6.7083    2.3661   4.514e-04 |    66.2868   4.514e-04      2.3661
p7-r18-blk6-s3                           6   0.000   60.0000   66.6667   65.6250     1.0417    2.1306   4.533e-04 |    66.2868   4.533e-04      2.1306
p7-r18-blk6-s4                           6   0.000   66.0000   69.3333   65.6250     3.7083    2.1786   4.662e-04 |    66.2868   4.662e-04      2.1786
p7-r18-blk6-s5                           6   0.000   65.6667   67.6667   65.6250     2.0417    2.3106   4.494e-04 |    66.2868   4.494e-04      2.3106
p7-r18-blk6-s6                           6   0.000   68.6667   70.0000   65.6250     4.3750    2.2415   4.534e-04 |    66.2868   4.534e-04      2.2415
p7-r18-blk6-s7                           6   0.000   66.0000   69.3333   65.6250     3.7083    2.2518   4.728e-04 |    66.2868   4.728e-04      2.2518
p7-r18-blk6-s8                           6   0.000   69.6667   72.3333   65.6250     6.7083    2.4197   4.294e-04 |    66.2868   4.294e-04      2.4197
p7-r18-blk6-s9                           6   0.000   68.6667   70.6667   65.6250     5.0417    2.1791   4.652e-04 |    66.2868   4.652e-04      2.1791
p7-r18-lay-s0                           62   0.000   52.1935   57.4194   55.0462     2.3732    2.0778   2.110e-04 |    55.0666   2.110e-04      2.0778
p7-r18-lay-s1                           62   0.000   51.6452   55.8387   55.0462     0.7925    2.0402   2.262e-04 |    55.0666   2.262e-04      2.0402
p7-r18-lay-s2                           62   0.000   51.9677   55.9032   55.0462     0.8570    2.0303   2.002e-04 |    55.0666   2.002e-04      2.0303
p7-r18-lay-s3                           62   0.000   52.5484   55.4516   55.0462     0.4054    2.0697   2.090e-04 |    55.0666   2.090e-04      2.0697
p7-r18-lay-s4                           62   0.000   54.3871   56.0645   55.0462     1.0183    2.0194   2.012e-04 |    55.0666   2.012e-04      2.0194
p7-r18-lay-s5                           62   0.000   52.5161   56.5161   55.0462     1.4699    2.0468   2.197e-04 |    55.0666   2.197e-04      2.0468
p7-r18-lay-s6                           62   0.000   53.1290   56.0323   55.0462     0.9861    2.0476   2.082e-04 |    55.0666   2.082e-04      2.0476
p7-r18-lay-s7                           62   0.000   53.3548   56.3226   55.0462     1.2764    2.0472   2.399e-04 |    55.0666   2.399e-04      2.0472
p7-r18-lay-s8                           62   0.000   51.6129   55.1613   55.0462     0.1151    2.0616   2.297e-04 |    55.0666   2.297e-04      2.0616
p7-r18-lay-s9                           62   0.000   51.1613   55.4839   55.0462     0.4377    2.0664   2.213e-04 |    55.0666   2.213e-04      2.0664
p7-r18-node-s0                      14,420   0.000   50.5753   50.7018   50.3322     0.3696    1.2104   1.066e-04 |    50.3322   9.012e-05      0.9856
p7-r18-node-s1                      14,420   0.000   50.7352   50.8007   50.3322     0.4685    1.1980   1.063e-04 |    50.3322   8.819e-05      0.9580
p7-r18-node-s2                      14,420   0.000   50.6968   50.7775   50.3322     0.4453    1.1505   9.993e-05 |    50.3322   8.653e-05      0.9688
p7-r18-node-s3                      14,420   0.000   50.6191   50.6669   50.3322     0.3346    1.2061   1.060e-04 |    50.3322   8.948e-05      0.9752
p7-r18-node-s4                      14,420   0.000   50.6785   50.7712   50.3322     0.4389    1.1810   1.064e-04 |    50.3322   9.155e-05      0.9519
p7-r18-node-s5                      14,420   0.000   50.5578   50.7240   50.3322     0.3918    1.1914   1.018e-04 |    50.3322   8.859e-05      0.9726
p7-r18-node-s6                      14,420   0.000   50.7150   50.7621   50.3322     0.4299    1.1845   1.060e-04 |    50.3322   8.891e-05      0.9704
p7-r18-node-s7                      14,420   0.000   50.5196   50.6569   50.3322     0.3246    1.1722   1.081e-04 |    50.3322   9.355e-05      0.9595
p7-r18-node-s8                      14,420   0.000   50.6713   50.7601   50.3322     0.4278    1.1564   1.033e-04 |    50.3322   8.877e-05      0.9541
p7-r18-node-s9                      14,420   0.000   50.6157   50.7025   50.3322     0.3703    1.2176   1.086e-04 |    50.3322   9.172e-05      0.9866
p7-r18-w-s0                     11,173,962   0.000   50.0082   50.0171   50.0119     0.0052    0.0634   6.697e-06 |    50.0119   5.514e-05      0.7683
p7-r18-w-s1                     11,173,962   0.000   50.0004   50.0157   50.0119     0.0037    0.0625   6.509e-06 |    50.0119   5.536e-05      0.7222
p7-r18-w-s2                     11,173,962   0.000   50.0008   50.0168   50.0119     0.0049    0.0625   6.646e-06 |    50.0119   5.622e-05      0.7347
p7-r18-w-s3                     11,173,962   0.000   50.0023   50.0151   50.0119     0.0032    0.0632   6.645e-06 |    50.0119   5.663e-05      0.7473
p7-r18-w-s4                     11,173,962   0.000   50.0057   50.0188   50.0119     0.0068    0.0620   6.741e-06 |    50.0119   5.546e-05      0.7473
p7-r18-w-s5                     11,173,962   0.000   50.0013   50.0143   50.0119     0.0024    0.0625   6.676e-06 |    50.0119   5.552e-05      0.7225
p7-r18-w-s6                     11,173,962   0.000   50.0070   50.0218   50.0119     0.0098    0.0634   6.757e-06 |    50.0119   5.601e-05      0.7557
p7-r18-w-s7                     11,173,962   0.000   50.0040   50.0168   50.0119     0.0048    0.0618   6.818e-06 |    50.0119   5.596e-05      0.7285
p7-r18-w-s8                     11,173,962   0.000   50.0025   50.0153   50.0119     0.0034    0.0622   6.435e-06 |    50.0119   5.479e-05      0.7308
p7-r18-w-s9                     11,173,962   0.000   50.0043   50.0161   50.0119     0.0041    0.0624   6.461e-06 |    50.0119   5.320e-05      0.7435
p7-r34-lay-s1                          110   0.000   51.6727   55.2727   53.7951     1.4776    1.5836   1.703e-04 |    53.8038   1.703e-04      1.5836
p7-r34-lay-s2                          110   0.000   52.6000   55.3636   53.7951     1.5685    1.5443   1.800e-04 |    53.8038   1.800e-04      1.5443
p7-r34-node-s1                      25,556   0.000   50.3357   50.4320   50.2496     0.1824    0.6356   9.473e-05 |    50.2496   8.392e-05      0.5786
p7-r34-node-s2                      25,556   0.000   50.4414   50.5555   50.2496     0.3059    0.6353   9.525e-05 |    50.2496   8.658e-05      0.5821
p7-r34-w-s1                     21,282,122   0.000   50.0007   50.0114   50.0086     0.0028    0.0468   5.325e-06 |    50.0086   5.569e-05      0.4976
p7-r34-w-s2                     21,282,122   0.000   50.0045   50.0124   50.0086     0.0037    0.0459   5.131e-06 |    50.0086   5.761e-05      0.4987

### STARTUP window (first 20% of records)
arm                                  n_tot   frac0      sys%     step%     null%  step-null   sd_beta  drift/step | null_asym%   drift_eqw sd_beta_eqw
------------------------------------------------------------------------------------------------------------------------------------------------------
p7-c100-blk6-s0                          6   0.000   73.3333   73.3333   65.6250     7.7083    0.1695   8.436e-04 |    66.2868   8.436e-04      0.1695
p7-c100-blk6-s1                          6   0.000   72.5000   74.1667   65.6250     8.5417    0.1233   8.389e-04 |    66.2868   8.389e-04      0.1233
p7-c100-blk6-s2                          6   0.000   77.5000   77.5000   65.6250    11.8750    0.2244   8.035e-04 |    66.2868   8.035e-04      0.2244
p7-c100-blk6-s3                          6   0.000   80.0000   80.0000   65.6250    14.3750    0.2445   8.019e-04 |    66.2868   8.019e-04      0.2445
p7-c100-blk6-s4                          6   0.000   75.8333   77.5000   65.6250    11.8750    0.1337   8.568e-04 |    66.2868   8.568e-04      0.1337
p7-c100-blk6-s5                          6   0.000   77.5000   79.1667   65.6250    13.5417    0.1048   8.564e-04 |    66.2868   8.564e-04      0.1048
p7-c100-blk6-s6                          6   0.000   76.6667   78.3333   65.6250    12.7083    0.0828   8.549e-04 |    66.2868   8.549e-04      0.0828
p7-c100-blk6-s7                          6   0.000   76.6667   81.6667   65.6250    16.0417    0.1065   8.550e-04 |    66.2868   8.550e-04      0.1065
p7-c100-blk6-s8                          6   0.000   74.1667   77.5000   65.6250    11.8750    0.2439   8.224e-04 |    66.2868   8.224e-04      0.2439
p7-c100-blk6-s9                          6   0.000   82.5000   84.1667   65.6250    18.5417    0.2232   8.298e-04 |    66.2868   8.298e-04      0.2232
p7-c100-lay-s0                          62   0.016   69.1803   69.0246   55.0998    13.9247    0.4439   6.574e-04 |    55.1079   6.574e-04      0.4439
p7-c100-lay-s1                          62   0.016   67.2951   67.9378   55.0998    12.8379    0.4284   6.565e-04 |    55.1079   6.565e-04      0.4284
p7-c100-lay-s2                          62   0.016   68.4426   68.3372   55.0998    13.2373    0.4417   6.419e-04 |    55.1079   6.419e-04      0.4417
p7-c100-lay-s3                          62   0.016   69.5902   69.3126   55.0998    14.2128    0.4428   6.607e-04 |    55.1079   6.607e-04      0.4428
p7-c100-lay-s4                          62   0.016   69.6721   69.7542   55.0998    14.6544    0.4319   6.689e-04 |    55.1079   6.689e-04      0.4319
p7-c100-lay-s5                          62   0.016   68.1148   68.0223   55.0998    12.9224    0.4360   6.483e-04 |    55.1079   6.483e-04      0.4360
p7-c100-lay-s6                          62   0.016   71.0656   70.8794   55.0998    15.7796    0.4407   6.779e-04 |    55.1079   6.779e-04      0.4407
p7-c100-lay-s7                          62   0.016   71.3934   71.2404   55.0998    16.1406    0.4279   6.678e-04 |    55.1079   6.678e-04      0.4279
p7-c100-lay-s8                          62   0.016   69.3443   69.6621   55.0998    14.5622    0.4638   6.388e-04 |    55.1079   6.388e-04      0.4638
p7-c100-lay-s9                          62   0.016   69.5902   69.4739   55.0998    14.3740    0.4472   6.683e-04 |    55.1079   6.683e-04      0.4472
p7-c100-node-s0                     14,600   0.016   53.1452   53.1084   50.3338     2.7746    0.3380   2.633e-04 |    50.3329   2.276e-04      0.2907
p7-c100-node-s1                     14,600   0.016   52.9791   52.9561   50.3338     2.6223    0.3486   2.686e-04 |    50.3329   2.306e-04      0.2996
p7-c100-node-s2                     14,600   0.016   53.6992   53.6839   50.3338     3.3501    0.3502   2.661e-04 |    50.3329   2.263e-04      0.3023
p7-c100-node-s3                     14,600   0.016   53.0700   53.0313   50.3338     2.6975    0.3648   2.718e-04 |    50.3329   2.311e-04      0.3135
p7-c100-node-s4                     14,600   0.016   53.4248   53.3938   50.3338     3.0600    0.3464   2.693e-04 |    50.3329   2.356e-04      0.2968
p7-c100-node-s5                     14,600   0.016   53.1952   53.1615   50.3338     2.8277    0.3599   2.702e-04 |    50.3329   2.282e-04      0.3080
p7-c100-node-s6                     14,600   0.016   53.0594   53.0300   50.3338     2.6962    0.3397   2.643e-04 |    50.3329   2.297e-04      0.2908
p7-c100-node-s7                     14,600   0.016   53.6409   53.6198   50.3338     3.2860    0.3366   2.627e-04 |    50.3329   2.265e-04      0.2901
p7-c100-node-s8                     14,600   0.016   53.6752   53.6374   50.3338     3.3036    0.3638   2.698e-04 |    50.3329   2.299e-04      0.3103
p7-c100-node-s9                     14,600   0.016   53.4425   53.4056   50.3338     3.0718    0.3420   2.699e-04 |    50.3329   2.299e-04      0.2937
p7-c100-w-s0                    11,220,132   0.000   50.1372   50.1387   50.0119     0.1268    0.0083   2.245e-06 |    50.0119   4.221e-06      0.0865
p7-c100-w-s1                    11,220,132   0.000   50.1245   50.1245   50.0119     0.1126    0.0094   9.931e-07 |    50.0119   4.442e-06      0.0912
p7-c100-w-s2                    11,220,132   0.000   50.1788   50.1788   50.0119     0.1669    0.0090   1.104e-06 |    50.0119   5.985e-06      0.0883
p7-c100-w-s3                    11,220,132   0.000   50.1443   50.1444   50.0119     0.1325    0.0091   7.017e-07 |    50.0119   4.231e-06      0.0903
p7-c100-w-s4                    11,220,132   0.000   50.1594   50.1599   50.0119     0.1480    0.0086   1.719e-06 |    50.0119   3.274e-06      0.0835
p7-c100-w-s5                    11,220,132   0.000   50.1426   50.1426   50.0119     0.1307    0.0089   1.111e-06 |    50.0119   5.487e-06      0.0933
p7-c100-w-s6                    11,220,132   0.000   50.1593   50.1593   50.0119     0.1474    0.0087   1.510e-06 |    50.0119   8.635e-07      0.0860
p7-c100-w-s7                    11,220,132   0.000   50.1827   50.1831   50.0119     0.1712    0.0085   1.786e-06 |    50.0119   5.791e-06      0.0854
p7-c100-w-s8                    11,220,132   0.000   50.1830   50.1840   50.0119     0.1721    0.0092   1.943e-07 |    50.0119   4.350e-06      0.0910
p7-c100-w-s9                    11,220,132   0.000   50.1528   50.1528   50.0119     0.1409    0.0096   7.617e-07 |    50.0119   1.348e-06      0.0886
p7-r10-lay-s1                           38   0.016   68.4492   69.4534   56.4953    12.9582    0.5214   6.269e-04 |    56.5234   6.269e-04      0.5214
p7-r10-lay-s2                           38   0.016   68.3155   70.6377   56.4953    14.1424    0.5560   6.252e-04 |    56.5234   6.252e-04      0.5560
p7-r10-node-s1                       8,660   0.017   55.4914   55.4450   50.4335     5.0116    0.4360   3.214e-04 |    50.4323   2.939e-04      0.3689
p7-r10-node-s2                       8,660   0.017   55.4221   55.5804   50.4335     5.1470    0.4351   3.262e-04 |    50.4323   2.987e-04      0.3720
p7-r10-w-s1                      4,903,242   0.000   50.4008   50.4103   50.0180     0.3923    0.0131   1.733e-05 |    50.0180   9.104e-06      0.1268
p7-r10-w-s2                      4,903,242   0.000   50.3759   50.3903   50.0180     0.3723    0.0116   1.506e-05 |    50.0180   1.243e-05      0.1284
p7-r18-blk6-s0                           6   0.000   72.5000   80.8333   65.6250    15.2083    0.4456   5.728e-04 |    66.2868   5.728e-04      0.4456
p7-r18-blk6-s1                           6   0.000   72.5000   74.1667   65.6250     8.5417    0.3421   6.042e-04 |    66.2868   6.042e-04      0.3421
p7-r18-blk6-s2                           6   0.000   73.3333   76.6667   65.6250    11.0417    0.4889   5.335e-04 |    66.2868   5.335e-04      0.4889
p7-r18-blk6-s3                           6   0.000   65.8333   65.8333   65.6250     0.2083    0.3110   6.552e-04 |    66.2868   6.552e-04      0.3110
p7-r18-blk6-s4                           6   0.000   70.8333   75.8333   65.6250    10.2083    0.3991   5.889e-04 |    66.2868   5.889e-04      0.3991
p7-r18-blk6-s5                           6   0.000   65.0000   75.0000   65.6250     9.3750    0.4226   6.110e-04 |    66.2868   6.110e-04      0.4226
p7-r18-blk6-s6                           6   0.000   70.8333   75.8333   65.6250    10.2083    0.3689   6.147e-04 |    66.2868   6.147e-04      0.3689
p7-r18-blk6-s7                           6   0.000   69.1667   72.5000   65.6250     6.8750    0.4350   5.924e-04 |    66.2868   5.924e-04      0.4350
p7-r18-blk6-s8                           6   0.000   71.6667   78.3333   65.6250    12.7083    0.4884   5.472e-04 |    66.2868   5.472e-04      0.4884
p7-r18-blk6-s9                           6   0.000   69.1667   75.8333   65.6250    10.2083    0.3409   6.170e-04 |    66.2868   6.170e-04      0.3409
p7-r18-lay-s0                           62   0.016   64.1803   68.3756   55.0998    13.2757    0.4959   5.293e-04 |    55.1079   5.293e-04      0.4959
p7-r18-lay-s1                           62   0.016   61.1475   65.2765   55.0998    10.1767    0.4785   5.097e-04 |    55.1079   5.097e-04      0.4785
p7-r18-lay-s2                           62   0.016   63.1967   66.7627   55.0998    11.6628    0.4912   4.837e-04 |    55.1079   4.837e-04      0.4912
p7-r18-lay-s3                           62   0.016   68.2787   68.0991   55.0998    12.9992    0.4858   5.047e-04 |    55.1079   5.047e-04      0.4858
p7-r18-lay-s4                           62   0.016   62.7869   66.2826   55.0998    11.1828    0.4905   5.170e-04 |    55.1079   5.170e-04      0.4905
p7-r18-lay-s5                           62   0.016   62.5410   67.2081   55.0998    12.1083    0.4865   5.247e-04 |    55.1079   5.247e-04      0.4865
p7-r18-lay-s6                           62   0.016   59.6721   64.5545   55.0998     9.4547    0.4728   5.349e-04 |    55.1079   5.349e-04      0.4728
p7-r18-lay-s7                           62   0.016   59.4262   63.9823   55.0998     8.8825    0.4842   5.294e-04 |    55.1079   5.294e-04      0.4842
p7-r18-lay-s8                           62   0.016   58.6885   63.9862   55.0998     8.8863    0.5028   4.944e-04 |    55.1079   4.944e-04      0.5028
p7-r18-lay-s9                           62   0.016   58.8525   64.7465   55.0998     9.6467    0.4811   5.116e-04 |    55.1079   5.116e-04      0.4811
p7-r18-node-s0                      14,420   0.017   53.2920   53.3698   50.3359     3.0338    0.3560   2.288e-04 |    50.3350   1.813e-04      0.3096
p7-r18-node-s1                      14,420   0.017   52.9919   53.2391   50.3359     2.9031    0.3669   2.110e-04 |    50.3350   1.668e-04      0.3182
p7-r18-node-s2                      14,420   0.017   53.2461   53.9856   50.3359     3.6496    0.3698   2.141e-04 |    50.3350   1.700e-04      0.3238
p7-r18-node-s3                      14,420   0.017   53.7599   53.7389   50.3359     3.4029    0.3652   2.253e-04 |    50.3350   1.825e-04      0.3164
p7-r18-node-s4                      14,420   0.017   52.9970   53.3127   50.3359     2.9767    0.3576   2.219e-04 |    50.3350   1.770e-04      0.3131
p7-r18-node-s5                      14,420   0.017   52.8487   53.3913   50.3359     3.0553    0.3753   2.202e-04 |    50.3350   1.760e-04      0.3247
p7-r18-node-s6                      14,420   0.017   52.6146   52.9167   50.3359     2.5808    0.3608   2.276e-04 |    50.3350   1.829e-04      0.3151
