p7 AGREEMENT LADDER -- CORRECTED REBUILD (campaign cycle 36)
built 2026-08-20 from RAW probe.jsonl on alice:/data1/salehkaleybars/metaopt/runs/p7free
92 arms x 100 records, all complete; config uniform (HF/SGDm base, Lion meta, alpha0=1e-3,
meta_stepsize=1e-3, 20 epochs, AUGMENT=1, BETA_CLIP=-15:-2.3026, HIER=none).

Supersedes results/p7_c31.txt, which was a partial snapshot (46 of 92 arms per window) and
carried two measurement defects, both fixed here:
  D1  drift/step averaged beta with EQUAL WEIGHT PER TENSOR.  probe.jsonl stores
      beta[i] = mean of tensor i's beta groups (HF.py:346), so the group mean needs weights
      w_i = #groups in tensor i: 1 (blk6, layerwise), out-dim (nodewise), numel (weightwise).
      Equal weighting is exact for blk6/layerwise and WRONG for nodewise/weightwise.
  D2  null% used the asymptotic 0.5 + sqrt(2/pi)/(2 sqrt(m)).  Replaced by the EXACT
      E[max(k,m-k)/m], k~Bin(m,1/2)  =  1/2 + ceil(m/2)*C(m,ceil(m/2))/(m*2^m)  (de Moivre).
      At m=6 that is 65.6250%, not 66.2868% -- the asymptotic form biased every m=6
      excess DOWN by 0.6618pp.  Bias is 0.0424pp at m=38, 0.0204pp at m=62, <0.01pp at m>=110.

CONTROL: this reader reproduces alice:/data1/salehkaleybars/metaopt/bin/agree2.py bit-exactly
(max abs discrepancy 0 over all 92 arms x 2 windows x 7 fields).  Every row of p7_c31.txt is
reproduced unchanged by the uncorrected path; c31 differs from the full run ONLY by omission.
NOTE: analysis/agree2.py in the repo differs from the published bin/agree2.py on one line --
limit_denominator(20_000_000) vs (100_000_000) -- which silently mis-infers n_tot for
ResNet-34 weightwise (21,282,122 > 20M).  Use the bin/ copy.  n_tot is cross-checked here
against torch parameter shapes and matches exactly for all 12 (arch,dataset,granularity) cells.

Columns 1-9 are the p7_c31.txt format (null% and drift/step now CORRECTED in place).
Columns 10-12 are appended: the legacy values, for direct comparison.

### STEADY window (last 50% of records)
arm                                  n_tot   frac0      sys%     step%     null%  step-null   sd_beta  drift/step | null_asym%   drift_eqw sd_beta_eqw
------------------------------------------------------------------------------------------------------------------------------------------------------
p7-c100-blk6-s0                          6   0.000   57.6667   65.0000   65.6250    -0.6250    2.0848   2.902e-04 |    66.2868   2.902e-04      2.0848
p7-c100-blk6-s1                          6   0.000   65.6667   68.3333   65.6250     2.7083    2.0946   2.977e-04 |    66.2868   2.977e-04      2.0946
p7-c100-blk6-s2                          6   0.000   60.0000   63.3333   65.6250    -2.2917    2.0769   2.681e-04 |    66.2868   2.681e-04      2.0769
p7-c100-blk6-s3                          6   0.000   59.6667   67.6667   65.6250     2.0417    2.0959   3.114e-04 |    66.2868   3.114e-04      2.0959
p7-c100-blk6-s4                          6   0.000   58.6667   68.0000   65.6250     2.3750    2.0913   2.993e-04 |    66.2868   2.993e-04      2.0913
p7-c100-blk6-s5                          6   0.000   60.6667   68.6667   65.6250     3.0417    2.0993   2.839e-04 |    66.2868   2.839e-04      2.0993
p7-c100-blk6-s6                          6   0.000   60.0000   70.6667   65.6250     5.0417    2.1036   2.862e-04 |    66.2868   2.862e-04      2.1036
p7-c100-blk6-s7                          6   0.000   61.3333   68.0000   65.6250     2.3750    2.0901   2.818e-04 |    66.2868   2.818e-04      2.0901
p7-c100-blk6-s8                          6   0.000   61.6667   66.3333   65.6250     0.7083    2.0826   3.063e-04 |    66.2868   3.063e-04      2.0826
p7-c100-blk6-s9                          6   0.000   59.6667   67.0000   65.6250     1.3750    2.0853   3.018e-04 |    66.2868   3.018e-04      2.0853
p7-c100-lay-s0                          62   0.000   58.6774   59.5806   55.0462     4.5345    2.4234   2.515e-04 |    55.0666   2.515e-04      2.4234
p7-c100-lay-s1                          62   0.000   57.9032   59.5806   55.0462     4.5345    2.3977   2.580e-04 |    55.0666   2.580e-04      2.3977
p7-c100-lay-s2                          62   0.000   57.4516   59.4516   55.0462     4.4054    2.3846   2.521e-04 |    55.0666   2.521e-04      2.3846
p7-c100-lay-s3                          62   0.000   55.9032   58.0323   55.0462     2.9861    2.4173   2.773e-04 |    55.0666   2.773e-04      2.4173
