batch,arm,family,n_rec,tensor_share,R_row_raw,R_row_cor,R_row_null,sd_p,sd_true,ss_total
ml5_m2,probe_w_m2_s2,r18,2000,0.006879,0.421361,0.440644,0.000533,0.053238,0.052064,31669.6072
ml5_m3,probe_w_m3_s0,r18,2000,0.004645,0.001384,0.001578,0.000738,0.013664,0.007862,2086.3030
ml5_m3,probe_w_m3_s1,r18,2000,0.004412,0.001499,0.001974,0.000907,0.013455,0.007492,2022.8918
ml5_m3,probe_w_m3_s2,r18,2000,0.004585,0.001515,0.001941,0.000941,0.013852,0.008183,2143.9182
ml5_m4,probe_w_m4_s0,r18,2000,0.005148,0.001319,0.001335,0.000892,0.019658,0.016175,4318.1373
ml5_m4,probe_w_m4_s1,r18,2000,0.004785,0.001365,0.001403,0.000876,0.019716,0.016246,4343.7267
ml5_m4,probe_w_m4_s2,r18,2000,0.004916,0.001273,0.001267,0.000863,0.019776,0.016318,4369.9665
ns5,probe_w_m2p4_s0,r18,2000,0.005049,0.001345,0.001389,0.000878,0.017141,0.012998,3283.0095
ns5,probe_w_m2p4_s1,r18,2000,0.004701,0.001377,0.001443,0.000881,0.017194,0.013069,3303.5875
ns5,probe_w_m2p4_s2,r18,2000,0.004806,0.001302,0.001314,0.000854,0.017298,0.013204,3343.3186
ns5,probe_w_m5p4_s0,r18,2000,0.004669,0.001345,0.001423,0.000831,0.014740,0.009611,2427.7325
ns5,probe_w_m5p4_s1,r18,2000,0.004469,0.001423,0.001602,0.000905,0.014809,0.009717,2450.5097
p5,probe_w_a3_s0,r18,2000,0.004812,0.001383,0.001404,0.000946,0.027566,0.025204,8490.7198
p5,probe_w_a3_s1,r18,2000,0.004609,0.001414,0.001440,0.000933,0.027822,0.025485,8649.4708
uc5,probe_r10_w_s0,r10,2000,0.011143,0.003849,0.005331,0.001374,0.017448,0.013400,1492.6254
uc5,probe_r10_w_s1,r10,2000,0.011630,0.002084,0.002323,0.001292,0.017291,0.013196,1465.9485
uc5,probe_r34_w_s0,r34,2000,0.002323,0.001139,0.000929,0.000790,0.012719,0.006070,3442.7048
uc5,probe_r34_w_s1,r34,2000,0.002106,0.001129,0.000881,0.000759,0.012694,0.006018,3429.2088
uc6,probe_c100_w_s0,c100,2000,0.020799,0.004288,0.006114,0.001618,0.018345,0.014550,3775.8719
uc6,probe_c100_w_s1,c100,2000,0.021139,0.004259,0.006063,0.001549,0.018362,0.014571,3782.9725
wc5,probe_w_m2_s0,r18,2000,0.007109,0.405533,0.426486,0.000514,0.050281,0.049036,28250.1355
wc5,probe_w_m2_s1,r18,2000,0.007106,0.397982,0.415547,0.000541,0.054159,0.053006,32775.0095
wc5,probe_w_m2_s2,r18,2000,0.006145,0.417132,0.432448,0.000581,0.059071,0.058019,38990.6169
wc5,probe_w_m3_s0,r18,2000,0.004724,0.001385,0.001582,0.000775,0.013661,0.007856,2085.2870
wc5,probe_w_m3_s1,r18,2000,0.004269,0.001470,0.001859,0.000888,0.013557,0.007674,2053.7951
wc5,probe_w_m3_s2,r18,2000,0.004567,0.001496,0.001895,0.000880,0.013804,0.008101,2129.0638
