batch,arm,family,n_rec,tensor_share,R_row_raw,R_row_cor,R_row_null,sd_p,sd_true,ss_total
bl5,probe_w_e40_s0,r18,4000,0.017900,0.106950,0.222301,0.000787,0.011040,0.007707,1361.8066
bl5,probe_w_e40_s1,r18,4000,0.021865,0.002688,0.005427,0.001269,0.009824,0.005834,1078.3673
bl5,probe_w_e40_s2,r18,4000,0.020793,0.002712,0.004954,0.001263,0.010213,0.006468,1165.5810
bo6,probe_w_adw_s0,r18,2000,0.013160,0.473988,0.493667,0.000813,0.055919,0.054805,34940.6863
bo6,probe_w_adw_s1,r18,2000,0.011903,0.331537,0.368317,0.000815,0.035437,0.033637,14032.3441
br6,probe_w_c2_s0,r18,4000,0.022655,0.002451,0.004721,0.001107,0.009832,0.005847,1080.0965
br6,probe_w_c2_s1,r18,4000,0.020402,0.028153,0.071731,0.001156,0.010153,0.006373,1151.9508
br6,probe_w_c2_s2,r18,4000,0.020865,0.002653,0.004886,0.001261,0.010141,0.006353,1149.0453
br6,probe_w_c2_s3,r18,4000,0.021652,0.002333,0.004326,0.000946,0.009868,0.005908,1088.0718
cl5,probe_w_cD_s0,r18,2000,0.004636,0.001404,0.001637,0.000857,0.013697,0.007919,2096.3894
cl5,probe_w_cD_s1,r18,2000,0.004231,0.001500,0.001962,0.000994,0.013524,0.007615,2043.7325
cl5,probe_w_cD_s2,r18,2000,0.004477,0.001505,0.001922,0.000903,0.013796,0.008089,2126.8660
cl5,probe_w_cU_s0,r18,2000,0.004687,0.001378,0.001554,0.000770,0.013744,0.008000,2110.7975
cl5,probe_w_cU_s1,r18,2000,0.004352,0.001455,0.001815,0.000879,0.013547,0.007656,2050.6940
cl5,probe_w_cU_s2,r18,2000,0.004642,0.001509,0.001941,0.000867,0.013758,0.008024,2115.0544
ff5,probe_c100_w_s0,c100,2000,0.020755,0.004283,0.006120,0.001594,0.018304,0.014499,3759.3251
ff5,probe_c100_w_s1,c100,2000,0.021142,0.004266,0.006081,0.001538,0.018340,0.014544,3774.0452
ff5,probe_r10_w_s0,r10,2000,0.011156,0.004019,0.005629,0.001352,0.017425,0.013371,1488.7811
ff5,probe_r10_w_s1,r10,2000,0.011642,0.002102,0.002356,0.001326,0.017263,0.013159,1461.2113
ff5,probe_r34_w_s0,r34,2000,0.002187,0.001151,0.000982,0.000739,0.012722,0.006077,3444.4196
ff5,probe_r34_w_s1,r34,2000,0.002182,0.001155,0.000970,0.000832,0.012471,0.005533,3310.0953
fr5,probe_w_a3_s0,r18,2000,0.004692,0.001379,0.001557,0.000693,0.013739,0.007991,2109.1305
fr5,probe_w_a3_s1,r18,2000,0.004307,0.001465,0.001832,0.000935,0.013631,0.007804,2076.3044
fr5,probe_w_a3_s2,r18,2000,0.004567,0.001503,0.001909,0.000890,0.013841,0.008166,2140.7835
fz3,probe_c100_w_s0,c100,2000,0.008728,0.002660,0.002844,0.001598,0.032798,0.030843,12069.8460
fz3,probe_c100_w_s1,c100,2000,0.008712,0.002730,0.002920,0.001617,0.032974,0.031030,12199.7698
fz3,probe_r10_w_s0,r10,2000,0.007532,0.002496,0.002546,0.001753,0.045079,0.043683,9964.1064
fz3,probe_r10_w_s1,r10,2000,0.007504,0.002491,0.002543,0.001708,0.044323,0.042902,9632.6692
fz3,probe_r34_w_s0,r34,2000,0.002654,0.000941,0.000828,0.000722,0.020244,0.016882,8721.6727
fz3,probe_r34_w_s1,r34,2000,0.002722,0.000948,0.000839,0.000715,0.020246,0.016885,8723.3112
ml5,probe_w_m2_s0,r18,2000,0.003254,0.399268,0.423270,0.000601,0.046745,0.045400,24415.8534
ml5,probe_w_m2_s1,r18,2000,0.009909,0.421251,0.438012,0.000518,0.056969,0.055876,36265.1303
ml5,probe_w_m2_s2,r18,2000,0.006879,0.421361,0.440644,0.000533,0.053238,0.052064,31669.6072
ml5,probe_w_m3_s0,r18,2000,0.004645,0.001384,0.001578,0.000738,0.013664,0.007862,2086.3030
ml5,probe_w_m3_s1,r18,2000,0.004412,0.001499,0.001974,0.000907,0.013455,0.007492,2022.8918
ml5,probe_w_m3_s2,r18,2000,0.004585,0.001515,0.001941,0.000941,0.013852,0.008183,2143.9182
ml5,probe_w_m4_s0,r18,2000,0.005148,0.001319,0.001335,0.000892,0.019658,0.016175,4318.1373
ml5,probe_w_m4_s1,r18,2000,0.004785,0.001365,0.001403,0.000876,0.019716,0.016246,4343.7267
ml5,probe_w_m4_s2,r18,2000,0.004916,0.001273,0.001267,0.000863,0.019776,0.016318,4369.9665
ml5_m2,probe_w_m2_s0,r18,2000,0.003254,0.399268,0.423270,0.000601,0.046745,0.045400,24415.8534
ml5_m2,probe_w_m2_s1,r18,2000,0.009909,0.421251,0.438012,0.000518,0.056969,0.055876,36265.1303
