CROSS-SEED REPRODUCIBILITY of centred CONV row means
(architectural => obs >> null; dynamical => obs at null)
config                         n_s  nE        R_row band    obs r   null r  pairs    rows
probes_bl5/probe_w_e40           3   1     0.039-23.014%  -0.0144  -0.0200      3    4800
probes_bo6/probe_w_adw           2   2    36.882-49.412%   0.0278   0.0016      1    4800
probes_br6/probe_w_c2            4   1     0.034- 7.216%  -0.0058  -0.0033      6    4800
probes_cl5/probe_w_cD            3   0     0.064- 0.073%  -0.0142  -0.0182      3    4800
probes_cl5/probe_w_cU            3   0     0.059- 0.063%  -0.0183  -0.0168      3    4800
probes_ff5/probe_c100_w          2   0     0.041- 0.045%  -0.0013  -0.0416      1    4800
probes_ff5/probe_r10_w           2   0     0.135- 0.448%  -0.0041  -0.0057      1    2880
probes_ff5/probe_r34_w           2   0     0.000- 0.003%   0.0136  -0.0233      1    8512
probes_fr5/probe_w_a3            3   0     0.058- 0.063%  -0.0294  -0.0084      3    4800
probes_fz3/probe_c100_w          2   0     0.074- 0.076%   0.0145  -0.0249      1    4800
probes_fz3/probe_r10_w           2   0     0.135- 0.136%  -0.0134  -0.0088      1    2880
probes_fz3/probe_r34_w           2   0     0.031- 0.037%  -0.0002  -0.0329      1    8512
probes_ml5/probe_w_m2            3   3    42.329-44.065%   0.0053   0.0103      3    4800
probes_ml5/probe_w_m3            3   0     0.060- 0.069%   0.0134  -0.0326      3    4800
probes_ml5/probe_w_m4            3   0     0.073- 0.078%  -0.0086  -0.0084      3    4800
probes_ns5/probe_w_m2p4          3   0     0.076- 0.082%   0.0260   0.0014      3    4800
probes_ns5/probe_w_m5p4          2   0     0.072- 0.080%  -0.0027  -0.0225      1    4800
probes_p5/probe_w_a3             2   0     0.074- 0.074%   0.0001   0.0153      1    4800
probes_uc5/probe_r10_w           2   0     0.134- 0.414%  -0.0087  -0.0076      1    2880
probes_uc5/probe_r34_w           2   0     0.001- 0.003%  -0.0225   0.0122      1    8512
probes_uc6/probe_c100_w          2   0     0.042- 0.048%  -0.0094  -0.0097      1    4800
probes_wc5/probe_w_m2            3   3    41.554-43.241%   0.0124   0.0051      3    4800
probes_wc5/probe_w_m3            3   0     0.057- 0.067%  -0.0067  -0.0109      3    4800
