run,job_id,account,network,dataset,batch_size,granularity,base,meta,meta_stepsize,alpha0,gamma,augment,beta_clip,hier,lam,eta_ratio,seed,epochs_done,epochs_requested,best_test,final_test,final_train,collapsed,node,wallclock_min,provenance,dup_group,superseded,ep_to_85,ep_to_88,ep_to_90,plateau,ep_in_band_90
sc-ResNet10-layer-s0,4683076,salehkaleybars,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,0,100,100,91.16,91.02,99.52,0,node882,21,env,,0,32,37,56,90.726,45
p6f-r10-lay,4683583,salehkaleybars,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,,na,na,0,20,20,86.81,86.81,89.21,0,node886,4,env,,0,17,,,71.282,0
p4-r10-lay,4683366,salehkaleybars,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,shrink,1.0,na,0,20,20,75.97,75.97,76.12,0,node887,4,env,,0,,,,59.337,0
sc-ResNet10-add-s0,4683077,salehkaleybars,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.06,0,100,100,91.59,91.29,96.1,0,node881,21,env,,0,37,41,45,91.132,35
sc-ResNet10-layer-s1,4683080,salehkaleybars,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,1,100,100,90.83,90.47,99.42,0,node883,21,env,,0,33,47,66,90.316,44
sc-ResNet10-add-s1,4683081,salehkaleybars,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.06,1,100,100,90.74,90.44,95.21,0,node886,21,env,,0,37,41,57,90.335,55
sc-ResNet10-add-s2,4683085,salehkaleybars,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,additive,na,0.06,2,100,100,91.54,91.24,96.46,0,node887,21,env,,0,37,40,46,90.956,41
sc-ResNet10-layer-s2,4683084,salehkaleybars,ResNet10,CIFAR10,100,layerwise,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,2,100,100,91.35,91.1,99.42,0,node886,21,env,,0,32,40,59,90.816,48
p6f-r10-node,4683584,salehkaleybars,ResNet10,CIFAR10,100,nodewise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,,na,na,0,20,20,86.44,86.44,88.72,0,node880,5,env,,0,17,,,69.77,0
p4-r10-node,4683367,salehkaleybars,ResNet10,CIFAR10,100,nodewise,SGDm,Lion,1e-3,1e-3,1,1,-15:-2.3026,shrink,1.0,na,0,20,20,71.4,69.5,72.57,0,node881,6,env,,0,,,,55.967,0
